alpha_size,tier,window_size,threshold,id,gen_method,train_test_class,step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,0,0,41.03185,-53.90201950073242,-54.63819122314453,sl2,1024,0.001,41.039093017578125
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,10,10,40.95271,-53.76990509033203,-54.5217170715332,sl2,1024,0.001,40.94035339355469
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,0,0,41.042675,-53.894718170166016,-54.64829635620117,sl2,1024,0.01,41.04290008544922
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,10,10,40.330757,-52.67530822753906,-53.58621597290039,sl2,1024,0.01,40.13911437988281
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,0,0,41.0314,-53.91615676879883,-54.644229888916016,sl2,128,0.001,41.21208190917969
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,10,2,40.954132,-53.786319732666016,-54.52954864501953,sl2,128,0.001,41.30706787109375
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,20,5,40.87913,-53.65949630737305,-54.417945861816406,sl2,128,0.001,40.964115142822266
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,30,7,40.80645,-53.53581619262695,-54.30946731567383,sl2,128,0.001,40.71359252929688
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,40,10,40.735542,-53.41463470458984,-54.20348358154297,sl2,128,0.001,40.55293273925781
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,43,10,40.71464,-53.3787956237793,-54.17219924926758,sl2,128,0.001,40.42161178588867
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,0,0,41.041275,-53.88722229003906,-54.645633697509766,sl2,128,0.01,41.19282913208008
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,10,2,40.340134,-52.68219757080078,-53.59646987915039,sl2,128,0.01,39.45001602172852
04,04,2,1,0,LSA,04.04.SL.2.1.0_LSA,20,5,39.809513,-51.70441055297852,-52.77532958984375,sl2,128,0.01,39.65290832519531
